Time (s),Velocity (m/s),Mass (kg)
382.06072902679443,2536.390984622462,5663.361328125
382.1827278137207,2538.549474767361,5659.84033203125
382.3007297515869,2540.7091512925786,5656.3193359375
382.4232647418976,2542.8700145552475,5652.79833984375
382.5407717227936,2545.032065444087,5649.27783203125
382.6626420021057,2547.1953045418886,5645.75732421875
382.7649712562561,2548.998911853465,5642.8232421875
382.88393354415894,2551.164330865831,5639.302734375
382.99994373321533,2553.3309399986265,5635.78173828125
383.10193252563477,2555.1373569957445,5632.84765625
383.216938495636,2557.306149471493,5629.32666015625
383.31993770599365,2559.1143869929497,5626.392578125
383.44093680381775,2561.2853649204694,5622.87158203125
383.5569369792938,2563.4575360925896,5619.35107421875
383.679936170578,2565.630900912749,5615.830078125
383.79693841934204,2567.8054599607117,5612.3095703125
383.92393684387207,2569.981214182684,5608.7890625
384.0389368534088,2572.1581640859613,5605.26806640625
384.1549406051636,2574.336310459214,5601.74755859375
384.25894474983215,2576.15234669601,5598.8134765625
384.3619387149811,2577.9692147409246,5595.87890625
384.4809379577637,2580.150554675621,5592.3583984375
384.59993720054626,2582.3330935204226,5588.83740234375
384.7149384021759,2584.5168319606096,5585.31640625
384.820937871933,2586.337530794856,5582.3828125
384.94193816185,2588.523470600219,5578.8623046875
385.06193709373474,2590.710612070779,5575.34130859375
385.2069365978241,2592.898955808247,5571.8203125
385.3229389190674,2595.4535742016214,5567.712890625
385.4489381313324,2597.644525619041,5564.19189453125
385.5649399757385,2599.8366817368683,5560.67138671875
385.6899392604828,2602.03004336956,5557.150390625
385.8119375705719,2604.224611281472,5553.6298828125
385.9219386577606,2606.4203861187198,5550.10888671875
386.0319378376007,2608.251120969576,5547.1748046875
386.1449384689331,2610.4491102570164,5543.65380859375
386.270938873291,2612.6483087049146,5540.1328125
386.3939595222473,2614.848717090429,5536.6123046875
386.5109848976135,2617.0503360920316,5533.09130859375
386.62398505210876,2619.2531663935565,5529.57080078125
386.72798562049866,2621.089784390069,5526.63720703125
386.8309872150421,2622.927244513817,5523.70263671875
386.94498467445374,2625.1333089091368,5520.18212890625
387.0469844341278,2626.9726237092086,5517.248046875
387.16398572921753,2629.180915159102,5513.72705078125
387.2669858932495,2631.022086850966,5510.79296875
387.3689956665039,2632.8641031236343,5507.859375
387.4839849472046,2635.0756382557975,5504.33837890625
387.6119849681854,2637.2883912901802,5500.81787109375
387.7219853401184,2639.5023631139134,5497.296875
387.831983089447,2641.348271182429,5494.36279296875
387.9519851207733,2643.5644795566686,5490.841796875
388.07198429107666,2645.7819092984364,5487.3212890625
388.18198585510254,2648.0005609843192,5483.80029296875
388.28678250312805,2649.8503713391533,5480.8662109375
388.3967831134796,2651.7010316160327,5477.93212890625
388.502783536911,2653.5525521484683,5474.99853515625
388.6137833595276,2655.775518287472,5471.4775390625
388.731782913208,2657.9996891175047,5467.95654296875
389.0438029766083,2660.225076726178,5464.43603515625
389.1514844894409,2662.451717616101,5460.9150390625
389.2655816078186,2664.679566359258,5457.39453125
389.38658237457275,2666.908639252313,5453.87353515625
389.5065824985504,2669.138942344539,5450.3525390625
389.62558221817017,2671.370476505067,5446.83203125
389.7295916080475,2673.2310292708084,5443.89794921875
389.84358286857605,2675.464822880626,5440.376953125
389.96858286857605,2677.6998502729202,5436.85595703125
390.08758330345154,2679.936112056548,5433.33544921875
390.212584733963,2681.4276396446753,5430.98828125
390.32858419418335,2684.0391659109505,5426.880859375
390.451584815979,2686.278930426182,5423.35986328125
390.5685832500458,2688.5199333212136,5419.8388671875
390.6715862751007,2690.388381944176,5416.90478515625
390.78651905059814,2692.6316569839705,5413.38427734375
390.89051818847656,2694.5020005448023,5410.4501953125
391.0410270690918,2696.7475513282925,5406.92919921875
391.1688618659973,2699.3689621350127,5402.82177734375
391.2838592529297,2701.617206033443,5399.30078125
391.4012610912323,2703.86669446273,5395.7802734375
391.52804732322693,2706.1174284708163,5392.25927734375
391.6470534801483,2708.369409088297,5388.73876953125
391.7700545787811,2710.622637139103,5385.21826171875
391.8880467414856,2712.8771135084376,5381.697265625
392.0080533027649,2715.132839598801,5378.17626953125
392.1300480365753,2717.3898160367535,5374.65576171875
392.247047662735,2719.6480439954075,5371.134765625
392.36404609680176,2721.907524533503,5367.61376953125
392.46604800224304,2723.791382531065,5364.6796875
392.5910484790802,2726.05316209107,5361.1591796875
392.70804715156555,2728.3161970388874,5357.63818359375
392.8210463523865,2730.5804884597396,5354.1171875
392.92304706573486,2732.4683585259886,5351.18310546875
393.04706740379333,2734.73495616532,5347.66259765625
393.163067817688,2737.00281293116,5344.14208984375
393.26606798171997,2738.8936564554742,5341.2080078125
393.3830680847168,2741.1638248889367,5337.68701171875
393.48706889152527,2743.056595926324,5334.7529296875
393.59007573127747,2744.950244314435,5331.81884765625
393.6990692615509,2747.223781044286,5328.29833984375
